Key,english
cultureInfoName,en-US
gmDeathmatchDesc,bla bla bla
auth_Banned,You are banned until {0}
auth_DuplicatePlayerID,A user from your account is already playing on this server!
auth_DuplicatePlayerName,The player name '{0}' already exists on the server! Please choose a different one
auth_EmptyNameOrPlayerID,Your player name may not be empty!
auth_encryptionfailure,Unexpected network message format received.
auth_friendsonly,This server only allows users from the friends list to join.
auth_gamepaused,Server is currently paused.
auth_InvalidAuthTicket,Your authentication data is invalid!
auth_InvalidUserId,Your user ID is invalid!
auth_ManualKick,You have been kicked.
auth_messageTitle,Server disconnected you:
auth_mod,Login denied by mod.
auth_NotOnWhitelist,You are not on the whitelist of the server!
auth_PlayerLimitExceeded,Too many players on the server! Allowed: {0}
auth_PlayerLimitExceededNonVIP,All non-reserved slots on this server are already in use! Non-reserved slots: {0}
auth_reason,Reason: {0}
auth_stillloading,"Server is still initializing, please try again in a minute."
auth_unknown,Unknown reason. Please report this incident on the official forum.
auth_unknownnetpackage,Unexpected data received. Server is either running an incompatible version or requires the client to install mods.
auth_unsupportedplatform,This server does not support clients from your platform ({0}).
auth_VersionMismatch,Game Version Mismatch: you have '{0}' and server has '{1}'
auth_wrongcrossplatform,This server does not support clients for your crossplatform ({0}).
authstate_authenticated,Receiving game data...
authstate_crossplatform,Waiting for {0} verification...
authstate_eac,Waiting for EAC verification...
authstate_nativeplatform,Waiting for {0} verification...
authstate_steam,Waiting for Steam verification...
eacauth_ban_restricted,Kicked by EAC: You are banned until {0}!
eacauth_ban_unrestricted,Kicked by EAC: You are banned!
eacauth_known,Kicked by EAC: {0}
eacauth_known_ClientAuthenticationFailed,Authentication of client failed
eacauth_known_ClientBanned,User is banned
eacauth_known_ClientDisconnected,EAC client disconnected
eacauth_known_ClientViolation,Client has invalid files
eacauth_known_with_text,Kicked by EAC: {0} - {1}
eacauth_message,EAC message: {0}
eacauth_unknown,EAC kicked you for an unknown reason. Please report this incident on the official forum.
platformauth_AuthTicketCanceled,Kicked by {0}: Your authentication has become invalid. Maybe your {0} client lost connection to the network.
platformauth_AuthTicketInvalid,Kicked by {0}: Your authentication data is invalid!
platformauth_AuthTicketInvalidAlreadyUsed,Kicked by {0}: Your authentication has already been used!
platformauth_DuplicateRequest,Kicked by {0}: Your authentication data is no longer valid!
platformauth_EosTicketFailed,{0} ticket verification failed ({1}).
platformauth_ExpiredTicket,Kicked by {0}: Your authentication data has expired!
platformauth_GameMismatch,Kicked by {0}: Your authentication data is from a different game!
platformauth_InvalidTicket,Kicked by {0}: Your authentication data is invalid!
platformauth_InvalidVersion,Kicked by {0}: You run an invalid game version!
platformauth_LoggedInElseWhere,Kicked by {0}: Your account is logged in and playing a game on another machine.
platformauth_NoLicenseOrExpired,Kicked by {0}: You do not have a valid license for the game.
